object_id,short_description,observing_notes,best_seen,difficulty_naked_eye,difficulty_binocular,difficulty_small_scope,difficulty_medium_scope,difficulty_large_scope
caldwell-C46,"C46 (NGC 2261), la Nebulosa Variabile di Hubble, è un piccolo ventaglio a riflessione nell'Unicorno, illuminato da R Monocerotis. Si ritiene che la polvere vicino alla stella proietti ombre sul resto della nube, modificandone l'aspetto anche nell'arco di poche settimane.","C46 è una piccola nebulosa a riflessione, quindi i filtri nebulari non aiutano. Usa ingrandimenti medi per distinguere il ventaglio cometario dalla stella R Monocerotis e annotane forma e lato più luminoso: il confronto a distanza di settimane può rivelare variazioni.",Inverno boreale (estate australe),Non realistico,Non realistico,Difficile,Media,Facile
caldwell-C47,"C47 (NGC 6934) è un globulare compatto nel Delfino, con un centro luminoso ben distinto e un alone più tenue. In un piccolo telescopio appare nebuloso; aumentando apertura e ingrandimento, il bordo acquista una tessitura granulosa.","C47 sopporta bene un aumento medio: concentra l'attenzione sul passaggio netto fra il centro brillante e l'alone. Con cielo stabile, la visione distolta può far scintillare alcune stelle sul margine.",Estate e autunno boreali (inverno e primavera australi),Non realistico,Non realistico,Media,Media,Facile
caldwell-C48,"C48 (NGC 2775) è una galassia spirale quasi frontale nella costellazione del Cancro. Un grande rigonfiamento giallastro di stelle vecchie è circondato da segmenti di bracci stretti e piumosi, segnati da polvere e giovani ammassi blu: il contrasto tra centro regolare e disco flocculento è il suo tratto distintivo.","Centra il rigonfiamento rotondo e luminoso di C48 a ingrandimento medio, poi passa alla visione distolta per seguire il disco più tenue. Anche con grande apertura i bracci flocculenti restano estremamente difficili: una sfumatura granulosa è un risultato più realistico di una spirale netta.",Primavera boreale (autunno australe),Non realistico,Non realistico,Difficile,Media,Facile
caldwell-C49,"La Rosetta è una vasta regione di idrogeno ionizzato nell’Unicorno, disposta attorno all’ammasso NGC 2244, identificato separatamente come C50. Le stelle massicce centrali illuminano il gas e scavano una cavità con i loro venti; ai bordi sopravvivono nubi più dense che alimentano altra formazione stellare.","Centra l'ammasso NGC 2244, usa basso ingrandimento e filtro UHC o OIII, poi cerca i segmenti dell'anello attorno al campo.",Inverno boreale (estate australe),Non realistico,Non realistico,Difficile,Difficile,Media
caldwell-C50,"C50 (NGC 2244) è il giovane ammasso aperto che occupa la cavità centrale della Nebulosa Rosetta, nell'Unicorno. Le sue stelle calde e luminose risaltano al centro del grande guscio di gas, creando nello stesso campo un netto contrasto fra popolazione stellare e nebulosità.","Osserva prima l'ammasso senza filtro e a bassa potenza, mantenendo un campo molto più ampio dei soli 24′. Inserisci poi un UHC o O III per cercare il guscio della Rosetta: la nebulosa guadagna contrasto mentre le stelle si attenuano.",Inverno boreale (estate australe),Difficile,Facile,Facile,Facile,Facile
caldwell-C51,"C51 (IC 1613) è una galassia nana irregolare del Gruppo Locale nella Balena. Nonostante la relativa vicinanza, il suo corpo stellare diffuso è estremamente poco contrastato: appare come una debole variazione del fondo cielo, senza un nucleo dominante.","Il profilo di C51 copre circa 12′ × 11′: proteggi l'adattamento al buio, usa un campo ampio e controlla i margini con visione distolta.",Autunno boreale (primavera australe),Non realistico,Difficile,Media,Media,Facile
caldwell-C52,"C52 (NGC 4697) è una galassia ellittica della Vergine con una sagoma nettamente allungata. Il centro emerge più facilmente dell'alone esterno, mentre le immagini profonde rivelano una popolazione di ammassi globulari che circonda la galassia e ne conserva la storia stellare.","C52 non è rotonda come molte ellittiche: a ingrandimento medio cerca un alone affusolato con rapporto circa due a uno e un centro gradualmente più brillante. La visione distolta serve ad allungarne le estremità, non a trovare bande o bracci che questa galassia non mostra.",Primavera boreale (autunno australe),Non realistico,Difficile,Media,Media,Facile
caldwell-C53,"C53 (NGC 3115), la Galassia Fuso, è una galassia lenticolare del Sestante vista quasi di taglio. Il suo disco liscio e privo di bracci si assottiglia nettamente ai lati di un nucleo brillante: una sagoma ad alta luminosità superficiale che mostra bene il carattere intermedio tra spirali ed ellittiche.","È una delle galassie Caldwell più accessibili: già un piccolo telescopio mostra un fuso netto con centro brillante. Parti a potenza media per separarlo dalle stelle, poi aumenta finché contrasto e seeing consentono di seguire le estremità affusolate.",Primavera boreale (autunno australe),Non realistico,Difficile,Media,Media,Facile
caldwell-C54,NGC 2506 è un ammasso aperto dell’Unicorno con circa due miliardi di anni di età e un profilo lievemente allungato. Le sue stelle sono relativamente povere di elementi pesanti; nel tempo la dinamica interna ha concentrato le componenti più massicce verso il centro.,Sotto un cielo scuro appare dapprima come una piccola nube granulosa; usa un aumento medio e visione periferica per far emergere la ricca trama di stelle deboli. Non lasciarti ingannare dalle dimensioni contenute: poca potenza non separa bene il gruppo.,Primavera boreale (autunno australe),Non realistico,Media,Media,Facile,Facile
caldwell-C55,"C55 (NGC 7009), la Nebulosa Saturno, è una planetaria dell'Acquario con un brillante involucro ovale. Due sottili estensioni laterali, le ansae, collegano il corpo centrale a nodi di gas più esterni e le conferiscono la somiglianza con il pianeta inanellato.","C55 è abbastanza brillante da sostenere ingrandimenti elevati. Usa l'OIII a potenza media per isolare il disco verde-azzurro, poi rimuovilo e aumenta nelle notti stabili: l'ovale interno e le sottili ansae laterali sono i dettagli da cercare.",Estate e autunno boreali (inverno e primavera australi),Non realistico,Difficile,Media,Facile,Facile
caldwell-C56,"NGC 246 è una nebulosa planetaria nella Balena: un involucro gassoso attorno a una nana bianca, attraversato in prospettiva da alcune stelle. Al telescopio il chiarore è tenue e quasi circolare, non il piccolo disco ad alta luminosità superficiale tipico di altre planetarie.",C56 è grande per una planetaria e il suo anello è discontinuo: usa un OIII con ingrandimento medio per seguire le zone più luminose e le cavità scure. Ripeti senza filtro per recuperare la stella centrale e le stelle proiettate sul disco.,Autunno boreale (primavera australe),Non realistico,Difficile,Media,Facile,Facile
caldwell-C57,"C57 (NGC 6822), la Galassia di Barnard, è una nana irregolare del Gruppo Locale nella costellazione del Sagittario. Un debole corpo stellare privo di spirale ospita grandi regioni di formazione stellare come Hubble V e Hubble X; la vicinanza permette di studiarne stelle e popolazioni una per una.","Osserva C57 al meridiano con il minimo ingrandimento utile: la galassia è una barra larga e molto tenue, non una macchia concentrata. Cercala senza filtro; con grande apertura puoi poi puntare separatamente le regioni Hubble V e Hubble X e provare un OIII soltanto su quei nodi di gas.",Estate boreale (inverno australe),Non realistico,Difficile,Media,Media,Facile
caldwell-C58,"C58 (NGC 2360), detto Ammasso di Caroline, è un ammasso aperto evoluto nel Cane Maggiore. Mostra una popolazione ricca e distribuita con notevole uniformità, priva della singola stella dominante che caratterizza molti ammassi giovani.","A bassa potenza riconosci un chiarore rotondeggiante e finemente granuloso; un aumento medio lo trasforma in una distesa uniforme di stelle deboli. Confronta il centro e il bordo invece di cercare una componente dominante, perché la ricchezza è il vero dettaglio di C58.",Inverno boreale (estate australe),Non realistico,Media,Facile,Facile,Facile
caldwell-C59,"NGC 3242, il Fantasma di Giove nell’Idra, deve il soprannome alla somiglianza del disco nebulare con quello del pianeta. È invece il gas espulso da una stella ormai divenuta nana bianca; immagini dettagliate rivelano una struttura simile a un occhio, dentro un involucro più esteso.","Distingui le due scale di C59: il brillante disco interno di circa 20″ regge forti ingrandimenti e risponde all'OIII, mentre l'enorme alone esterno catalogato è un bersaglio fotografico estremamente tenue. In visuale cerca l'anello interno e la stella centrale.",Primavera boreale (autunno australe),Non realistico,Difficile,Media,Media,Facile
caldwell-C60,"C60 (NGC 4038) è la componente settentrionale delle Galassie Antenne, una coppia di spirali in collisione nella costellazione del Corvo. Il suo disco si sovrappone a NGC 4039 (C61) in una regione intricata di polvere e formazione stellare, mentre le maree hanno proiettato lunghe code fuori dalla coppia.","C60 va osservata insieme a C61, non come una galassia isolata. Con cielo scuro e ingrandimento medio cerca due condensazioni sovrapposte dentro una debole forma a virgola; le lunghe code che danno il nome alle Antenne rimangono normalmente fotografiche.",Primavera boreale (autunno australe),Non realistico,Non realistico,Difficile,Difficile,Media
caldwell-C61,"NGC 4039 è una delle due Galassie Antenne nel Corvo, in collisione con NGC 4038. I nuclei rimangono distinguibili, mentre polvere e giovani ammassi segnano la regione dove i dischi si sovrappongono. Le lunghe code esterne sono stelle trascinate via dall’interazione gravitazionale.",Non cercare C61 come una macchia di tredicesima magnitudine separata: è la condensazione meridionale fusa visualmente con C60. A ingrandimento medio prova a distinguere i due nuclei e la zona di sovrapposizione; l'intera coppia resta una tenue virgola e le Antenne estese sono fotografiche.,Primavera boreale (autunno australe),Non realistico,Non realistico,Non realistico,Difficile,Difficile
caldwell-C62,NGC 247 è una spirale nana nella Balena appartenente al Gruppo dello Scultore. Una zona insolitamente povera di stelle luminose interrompe il disco e le vale il soprannome di Cruna dell’Ago. Quel vuoto apparente contiene stelle vecchie e deboli: non è un foro privo di materia.,"C62 è una galassia australe ampia e tenue: osservala al meridiano con basso ingrandimento e campo di almeno mezzo grado. Cerca una striscia asimmetrica con centro poco concentrato; il grande vuoto nel disco può apparire soltanto come un tratto meno uniforme, non come una cavità netta.",Autunno boreale (primavera australe),Non realistico,Difficile,Difficile,Media,Facile
caldwell-C63,"La Nebulosa Elica, NGC 7293 nell’Acquario, è una delle planetarie più vicine alla Terra. Il suo grande anello apparente avvolge la stella morente, ma la struttura reale comprende componenti inclinate tra loro. Le immagini ad alta risoluzione mostrano noduli gassosi con code rivolte lontano dalla stella.","Usa basso ingrandimento, filtro OIII e cielo buio; cerca il grande anello con visione distolta senza aspettarti bordi netti.",Autunno boreale (primavera australe),Non realistico,Difficile,Media,Facile,Facile
caldwell-C64,"C64 (NGC 2362) è un ammasso aperto molto giovane e compatto nel Cane Maggiore. La brillante Tau Canis Majoris domina il centro, circondata da una concentrazione di stelle più deboli che le conferisce un aspetto quasi nebuloso a bassa potenza.",Centra Tau Canis Majoris e aumenta gradualmente: le stelle deboli si aprono attorno al faro centrale come un piccolo ventaglio. Un ingrandimento medio o medio-alto riduce l'abbagliamento della stella senza disperdere il compatto ammasso.,Inverno boreale (estate australe),Difficile,Facile,Facile,Facile,Facile
caldwell-C65,"C65 (NGC 253), la Galassia dello Scultore, è una grande spirale starburst vista quasi di taglio. All'oculare presenta un fuso asimmetrico e marezzato, attraversato da polveri scure attorno a un centro allungato; la sua estensione di circa 25′ ne fa un autentico oggetto da grande campo.","C65 è lunga quasi quanto il diametro apparente della Luna: il primo sguardo richiede basso ingrandimento e campo ampio per non tagliare il fuso. Una volta centrata, sali a potenza media e usa la visione distolta per riconoscere le irregolarità scure del disco; alle latitudini nord osservala al transito.",Autunno boreale (primavera australe),Non realistico,Media,Media,Facile,Facile
caldwell-C66,"C66 (NGC 5694) è un globulare remoto e compatto nell'Idra, appartenente alle regioni esterne dell'alone galattico. All'oculare è un piccolo chiarore rotondo dalla concentrazione moderata, più adatto a un cielo trasparente che alla ricerca di una facile risoluzione stellare.","La declinazione australe e la debolezza di C66 richiedono un orizzonte pulito. Parti con un campo largo per riconoscerlo, quindi usa un aumento medio e la visione distolta per seguire il tenue bordo esterno.",Estate boreale (inverno australe),Non realistico,Non realistico,Difficile,Media,Facile
caldwell-C67,"NGC 1097 è una grande spirale barrata nella Fornace, con bracci estesi e un nucleo attivo. Attorno al centro si concentra un anello di intensa formazione stellare, alimentato dal gas che affluisce verso l’interno. Il nucleo brillante e i bracci più deboli richiedono attenzioni osservative diverse.","Dalle latitudini settentrionali porta C67 al meridiano. A ingrandimento medio cerca il nucleo molto brillante, una barra ovale e l'alone quasi circolare; con più apertura la piccola compagna NGC 1097A può emergere accanto a un braccio, mentre anello e getti centrali restano fotografici.",Inverno boreale (estate australe),Non realistico,Difficile,Media,Media,Facile
caldwell-C68,"NGC 6729 è un piccolo ventaglio di polvere illuminato dalla giovane variabile R Coronae Australis. Si trova nella nube molecolare della Corona Australe, vicino alle nebulose NGC 6726 e NGC 6727. La sua sagoma si protende verso T Coronae Australis, senza coincidere con l’intero complesso circostante.",Mantieni un campo ampio e cerca variazioni graduali di luminosità tra le stelle.,Estate boreale (inverno australe),Non realistico,Non realistico,Difficile,Media,Facile
caldwell-C69,"NGC 6302 è una nebulosa planetaria bipolare nello Scorpione, nota come Nebulosa Farfalla. Due lobi di gas si allargano ai lati di una densa cintura di materiale attorno alla stella centrale. La forma spettacolare nelle immagini nasce da espulsioni avvenute in fasi diverse, non da un semplice guscio sferico.",La declinazione australe di C69 impone una notte trasparente e l'osservazione al meridiano. Un OIII aiuta a staccare i due lobi dal campo dello Scorpione; con un aumento medio-alto cerca la cintura scura che divide la struttura bipolare.,Estate boreale (inverno australe),Non realistico,Non realistico,Non realistico,Difficile,Difficile
caldwell-C70,"NGC 300 è una spirale vicina nello Scultore, con bracci ricchi di giovani stelle blu e un centro più concentrato. Il disco occupa in cielo quasi quanto la Luna piena. La vicinanza permette a Hubble di separarne le stelle, rendendola utile per studiare le popolazioni stellari oltre la Via Lattea.","C70 occupa circa due terzi del diametro lunare e non va compressa con troppi ingrandimenti. Osservala vicino alla culminazione con un campo largo e visione distolta per riconoscere un disco debolmente granuloso senza forte nucleo; in grande apertura alcuni addensamenti stellari emergono come chiazze, non come bracci continui.",Autunno boreale (primavera australe),Non realistico,Media,Media,Media,Facile
caldwell-C71,"NGC 2477 nella Poppa è un ammasso aperto così ricco e arrotondato da ricordare un globulare. Le molte stelle ravvicinate contrastano con il più disperso NGC 2451, visibile nella stessa zona: il confronto tra i due rende evidente quanto possano differire gli ammassi aperti.","A bassa potenza può ricordare un globulare per densità e forma; porta poi l'ingrandimento a un valore medio-alto per risolvere le stelle fino verso il centro. Dalle latitudini boreali attendi la culminazione, perché l'assorbimento vicino all'orizzonte impasta subito la trama fine.",Inverno boreale (estate australe),Non realistico,Facile,Facile,Facile,Facile
caldwell-C72,"NGC 55 è una galassia di tipo magellanico nello Scultore, vista quasi di taglio. Simile per struttura alla Grande Nube di Magellano ma più piccola, assume un profilo lungo e irregolare anziché mostrare una spirale ordinata. Nubi di polvere ne attenuano la luce in modo disomogeneo.","Porta C72 al meridiano e usa il campo più largo disponibile: i suoi 32′ formano una striscia sottile che può uscire dall'oculare. Non cercare un nucleo simmetrico; la firma visuale è una luminosità irregolare, più intensa in alcuni nodi, che si assottiglia verso le estremità.",Autunno boreale (primavera australe),Non realistico,Media,Media,Media,Facile
caldwell-C73,"NGC 1851 è un globulare della Colomba dal centro molto compatto, circondato da un alone stellare assai più diffuso. Le osservazioni rivelano popolazioni di età differenti: l’aspetto di una singola sfera luminosa nasconde quindi una storia di formazione più complessa di quella di un gruppo nato tutto insieme.","C73 è luminoso ma fortemente concentrato: a basso ingrandimento separalo dal ricco campo vicino alla Piccola Nube di Magellano, poi sali di potenza per confrontare il nucleo quasi stellare con l'alone di 11′.",Inverno boreale (estate australe),Non realistico,Difficile,Facile,Facile,Facile
caldwell-C74,"NGC 3132, la Nebulosa Anello del Sud nelle Vele, presenta un involucro gassoso ovale percorso da filamenti di polvere. La stella più luminosa vicino al centro non è quella che ha espulso il gas: la responsabile è una compagna molto più debole, ormai una nana bianca.",Usa ingrandimenti medi o alti e confronta la vista con e senza filtro OIII per leggere l'ovale e la cavità centrale.,Primavera boreale (autunno australe),Non realistico,Difficile,Media,Facile,Facile
caldwell-C75,"NGC 6124 è un ampio ammasso aperto nello Scorpione, con oltre un centinaio di stelle visibili. La sua estensione apparente è paragonabile al diametro della Luna piena: il carattere dell’oggetto emerge dalla distribuzione dell’intero gruppo, non da un unico centro dominante.",Usa prismatici o poca potenza per seguire la figura larga e irregolare; le zone meno popolate fanno parte dell'aspetto prodotto dall'estinzione e non vanno riempite aumentando a caso. Un campo ampio e un cielo trasparente rendono più leggibile il confine.,Estate boreale (inverno australe),Non realistico,Facile,Facile,Facile,Facile
caldwell-C76,"C76 (NGC 6231) è un ammasso aperto giovane, brillante e compatto nello Scorpione, al centro dell'associazione Sco OB1. La fitta popolazione di stelle calde gli ha valso il soprannome di Scrigno di Gioielli Settentrionale, in analogia con NGC 4755.","È già evidente a occhio nudo sotto un buon cielo australe; a bassa potenza mostra una concentrazione bianco-azzurra molto serrata. Usa un aumento medio per separare coppie e piccoli gruppi, osservandolo alla culminazione se il tuo orizzonte sud è basso.",Estate boreale (inverno australe),Media,Facile,Facile,Facile,Facile
caldwell-C77,"C77 (NGC 5128), meglio nota come Centaurus A, è il resto peculiare di una fusione galattica. Un ampio chiarore ellittico è tagliato da una spessa fascia di polvere scura: l'incrocio fra alone regolare e disco deformato produce una delle sagome galattiche più riconoscibili al telescopio.","È visibile anche in binocolo, ma il telescopio ne mostra il tratto decisivo: una banda di polvere scura attraversa il chiarore quasi circolare. Inquadrala prima a basso ingrandimento; a potenza media, con buona trasparenza e oggetto al transito, segui la frattura sui due lati del nucleo.",Primavera boreale (autunno australe),Non realistico,Media,Media,Facile,Facile
caldwell-C78,"NGC 6541 è un globulare della Corona Australe, a circa 22.000 anni luce. Visibile già al binocolo come una concentrazione luminosa, al telescopio permette di cercare le singole stelle dell’ammasso. Hubble ne ha studiato la popolazione in luce visibile e ultravioletta per confrontare stelle chimicamente diverse.","C78 mostra un nucleo intenso dentro un alone ampio. Inquadralo prima a basso ingrandimento, poi usa una potenza media: con seeing fermo le stelle periferiche iniziano a risolversi mentre il centro resta compatto.",Estate boreale (inverno australe),Non realistico,Difficile,Facile,Facile,Facile
caldwell-C79,"NGC 3201 è un globulare relativamente vicino nelle Vele, a circa 16.000 anni luce. La sua orbita attorno al centro galattico procede in senso retrogrado rispetto alla rotazione del disco della Via Lattea. Questo moto insolito è un indizio della sua storia, non una prova definitiva di origine extragalattica.","C79 è largo e poco concentrato, quindi rende meglio con un campo abbastanza ampio. Sotto un cielo scuro, un aumento medio trasforma l'alone irregolare in numerose stelle senza perdere le propaggini più esterne.",Primavera boreale (autunno australe),Non realistico,Difficile,Facile,Facile,Facile
caldwell-C80,"Omega Centauri, NGC 5139, è il globulare più massiccio della Via Lattea: circa dieci milioni di stelle formano un vasto sistema, visibile anche a occhio nudo dai cieli australi.",Usa un campo abbastanza ampio da contenerlo tutto e ingrandimenti medi per risolvere la vasta periferia stellare.,Primavera boreale (autunno australe),Difficile,Media,Facile,Facile,Facile
caldwell-C81,"C81 (NGC 6352) è un globulare compatto e relativamente ricco di metalli nella costellazione dell'Altare. Il suo disco di circa 7′ presenta un centro morbido e luminoso, circondato da una periferia che gli strumenti medi possono iniziare a sgranare.",Per C81 privilegia una notte trasparente e un'altezza sufficiente sull'orizzonte sud. Un aumento medio mantiene visibile il piccolo disco e aiuta a distinguere la luminosità centrale dalle prime stelle periferiche.,Estate boreale (inverno australe),Non realistico,Difficile,Media,Facile,Facile
caldwell-C82,"C82 (NGC 6193) è un giovane ammasso aperto dell'Altare, dominato dal sistema stellare massiccio HD 150136. Si trova accanto alla nebulosa a emissione NGC 6188: stelle azzurre concentrate e gas scolpito raccontano nello stesso campo una regione di formazione stellare.","Esamina prima l'ammasso senza filtro, a potenza medio-bassa, usando HD 150136 come riferimento. Spostati poi sulla vicina NGC 6188 e prova un UHC o O III: il filtro può aiutare il gas, ma non la popolazione stellare di C82.",Estate boreale (inverno australe),Difficile,Facile,Facile,Facile,Facile
caldwell-C83,"NGC 4945 è una spirale barrata nel Centauro, ma dalla Terra la vediamo quasi di taglio. Il disco appare quindi come una sottile fascia luminosa, attraversata da polvere e solo moderatamente più brillante al centro. La classificazione barrata non implica una barra riconoscibile all’oculare.","Da un cielo buio un piccolo telescopio mostra C83 come una lama luminosa lunga e sottile, appena rinforzata al centro. Usa un campo ampio per contenerne i 20′ e osserva al transito: dalle latitudini settentrionali la bassa altezza rende la trasparenza più importante dell'ingrandimento.",Primavera boreale (autunno australe),Non realistico,Difficile,Difficile,Media,Facile
caldwell-C84,"NGC 5286 è un antico globulare del Centauro, a circa 35.000 anni luce. La vicina e molto più luminosa M Centauri crea un contrasto particolare nel campo e può disturbare la visione dell’ammasso con la propria luce diffusa; la prossimità apparente non indica un legame fisico.",La stella luminosa M Centauri rende facile trovare C84 ma può disturbare l'adattamento al buio. Tienila appena fuori campo e usa un aumento medio per cercare granulosità nell'alone attorno al nucleo concentrato.,Primavera boreale (autunno australe),Non realistico,Difficile,Media,Facile,Facile
caldwell-C85,"C85 (IC 2391), o Ammasso di Omicron Velorum, è un giovane ammasso aperto molto esteso nella costellazione delle Vele. Le sue stelle luminose e sparse occupano quasi un grado attorno a Omicron Velorum, formando un gruppo australe evidente anche senza telescopio.",Localizzalo a occhio nudo e passa ai prismatici: il campo largo mostra meglio Omicron Velorum e l'intera disposizione delle stelle. Un telescopio è utile soltanto a bassissima potenza; con un campo stretto l'ammasso perde subito la sua forma.,Primavera boreale (autunno australe),Media,Facile,Facile,Facile,Facile
caldwell-C86,"NGC 6397 nell’Altare è uno dei globulari più vicini, a circa 7.800 anni luce. Questa vicinanza favorisce la separazione delle sue stelle al telescopio e ha permesso a Hubble di misurarne la parallasse. La popolazione molto antica e povera di elementi pesanti conserva tracce della giovane Via Lattea.",C86 è ampio e vicino: usa un basso ingrandimento per includerne l'estensione e poi una potenza media per risolvere numerose stelle. Il nucleo molto addensato resta il miglior banco di prova per seeing e apertura.,Estate boreale (inverno australe),Difficile,Media,Facile,Facile,Facile
caldwell-C87,"NGC 1261 è un globulare dell’Orologio distante circa 50.000 anni luce, con una marcata concentrazione centrale. Tra le sue stelle sono state identificate variabili RR Lyrae e candidate vagabonde blu, insolitamente calde per una popolazione così antica.","C87 appare come un globo regolare con un centro ben condensato. Dopo la localizzazione, prova ingrandimenti medi senza restringere troppo il campo: la visione distolta rivela la periferia e qualche stella al margine.",Inverno boreale (estate australe),Non realistico,Difficile,Media,Facile,Facile
caldwell-C88,"NGC 5823 è un ammasso aperto nel Compasso, vicino al confine con il Lupo e in parte esteso oltre quella linea convenzionale. Dista circa 4.700 anni luce e fu individuato da James Dunlop nel 1826.","Cercalo come un addensamento compatto nel fitto cielo australe, quindi usa un aumento medio per separare il nucleo e le propaggini irregolari. Se la trasparenza è mediocre resta granuloso: aspetta la culminazione invece di ricorrere a un filtro.",Estate boreale (inverno australe),Non realistico,Media,Media,Facile,Facile
caldwell-C89,"NGC 6087 è un ammasso aperto nella costellazione del Regolo dominato dalla cefeide S Normae. La stella cambia luminosità con un periodo di circa dieci giorni, mentre le compagne delineano un gruppo riconoscibile al binocolo. Riunisce così, nello stesso campo, un bersaglio da esplorare e una variabile da seguire nel tempo.","Nei prismatici appare come un piccolo gruppo attorno alla Cefeide S Normae; un telescopio a potenza media separa le componenti più deboli. Torna in notti diverse per confrontare S Normae con le stelle vicine, mantenendo identici strumento e ingrandimento.",Estate boreale (inverno australe),Difficile,Facile,Facile,Facile,Facile
caldwell-C90,"NGC 2867 è una piccola nebulosa planetaria nella Carena, tanto compatta da sembrare stellare a basso ingrandimento. Il suo involucro quasi sferico è gas espulso dalla stella centrale e reso luminoso dalla radiazione ultravioletta. L’identificazione richiede distinguere il minuscolo disco nebulare dalle stelle del campo.","Per C90 (NGC 2867), estesa 0,2′ e di magnitudine integrata 9,7, confronta la visione senza filtro con quella filtrata e annota quale struttura cambia davvero.",Primavera boreale (autunno australe),Non realistico,Non realistico,Difficile,Media,Facile
caldwell-C91,"NGC 3532 è un ricco ammasso aperto della Carena, soprannominato Pozzo dei Desideri per le stelle che ricordano monete sparse. Ha circa 300 milioni di anni: accanto alle componenti bianco-azzurre spiccano giganti arancioni, già evolute. Il contrasto cromatico è una delle sue caratteristiche più attraenti.","Il Pozzo dei Desideri riempie quasi un grado: preferisci prismatici o un telescopio a campo largo. A potenza moderata cerca le componenti gialle e arancio fra la folla bianco-azzurra, poi torna al campo ampio per apprezzarne la straordinaria ricchezza.",Primavera boreale (autunno australe),Media,Facile,Facile,Facile,Facile
caldwell-C92,"La Nebulosa della Carena, NGC 3372, è un vasto complesso di formazione stellare modellato da stelle molto massicce. Cavità, pilastri e nubi scure circondano regioni di gas luminoso; Eta Carinae si trova al suo interno, ma il piccolo involucro dell’Omunculus non coincide con l’intera nebulosa.","Usa binocolo o un telescopio a grande campo; esplora separatamente Eta Carinae, le bande scure e gli ammassi immersi.",Primavera boreale (autunno australe),Difficile,Media,Facile,Facile,Facile
caldwell-C93,"C93 (NGC 6752) è uno dei globulari più vicini e luminosi del cielo australe, nella costellazione del Pavone. Il grande alone di circa 20′ si risolve generosamente già con aperture moderate, mentre il centro conserva una trama fitta e brillante.",Inquadra C93 a basso ingrandimento per non tagliare il largo alone; passa poi a una potenza media per seguire le catene di stelle verso il centro. Un campo scuro rende evidente la differenza fra nucleo e periferia.,Estate boreale (inverno australe),Difficile,Media,Facile,Facile,Facile
caldwell-C94,"NGC 4755, lo Scrigno di Gioielli nella Croce del Sud, è un ammasso aperto celebre per il contrasto tra supergiganti azzurre e una supergigante rossa. A occhio nudo può sembrare una sola stella; al telescopio il gruppo rivela sia i colori sia le grandi differenze di luminosità tra le componenti.","A occhio nudo sembra una stella; prismatici e piccoli telescopi lo trasformano nello Scrigno di Gioielli. Usa un aumento medio per mettere in risalto la supergigante rosso-arancio fra le stelle azzurre, evitando potenze eccessive che disperdano il piccolo gruppo.",Primavera boreale (autunno australe),Difficile,Facile,Facile,Facile,Facile
caldwell-C95,"NGC 6025 è un giovane ammasso aperto del Triangolo Australe, prossimo al confine con il Regolo. Il gruppo è poco concentrato al centro e mescola stelle di luminosità molto diversa. Spicca MQ Trianguli Australis, una stella blu più brillante delle altre componenti dell’ammasso.",A bassa potenza individua il piccolo cuneo luminoso; passa poi a un aumento medio per separare le file più deboli che ne completano la figura. Non usare filtri: trasparenza e buona altezza sull'orizzonte sono ciò che rende netto il confine.,Estate boreale (inverno australe),Difficile,Facile,Facile,Facile,Facile
caldwell-C96,"NGC 2516 è l’Alveare del Sud, un ammasso aperto luminoso nella Carena. Il chiarore percepibile a occhio nudo si separa in stelle già al binocolo. Alcune coppie apparenti offrono ulteriori dettagli al piccolo telescopio, ma una doppia ottica non va automaticamente interpretata come un sistema binario.",L'Alveare del Sud rende al meglio nei prismatici o a bassissima potenza. Segui le file di stelle luminose e cerca le componenti aranciate che interrompono il prevalente tono bianco-azzurro; salendo troppo di ingrandimento perdi il mezzo grado di struttura.,Inverno boreale (estate australe),Difficile,Facile,Facile,Facile,Facile
caldwell-C97,"NGC 3766 è un giovane ammasso aperto nel Centauro, con un’età stimata intorno a 20 milioni di anni. L’apparente stabilità del gruppo nasconde piccole variazioni: un monitoraggio pluriennale ha individuato decine di stelle con oscillazioni regolari troppo deboli per essere apprezzate a occhio.",Il luminoso Ammasso della Perla sopporta bene un aumento medio: cerca le brevi catene che attraversano il nucleo e le componenti dai toni più caldi. A bassa potenza resta molto compatto; una maggiore apertura aggiunge stelle senza cancellarne la forma.,Primavera boreale (autunno australe),Difficile,Facile,Facile,Facile,Facile
caldwell-C98,"C98 (NGC 4609) è un piccolo ammasso aperto della Croce del Sud proiettato sul margine della Nebulosa Sacco di Carbone. Il gruppo compatto risalta contro un campo insolitamente povero di stelle, rendendo il contrasto con la nube oscura parte essenziale della sua identità.","Usa una potenza medio-bassa per tenere insieme l'ammasso e un tratto del Sacco di Carbone. Confronta la concentrazione stellare di C98 con il fondo scuro e rarefatto circostante; nessun filtro migliora questo contrasto, che dipende soprattutto da trasparenza e adattamento al buio.",Primavera boreale (autunno australe),Non realistico,Media,Facile,Facile,Facile
caldwell-C99,Il Sacco di Carbone è una vasta nube scura accanto alla Croce del Sud. Nel visibile non brilla per emissione: la polvere intercetta la luce delle stelle più lontane e crea una lacuna apparente nella Via Lattea. La sua sagoma si comprende soprattutto guardando il contrasto con il fondo stellare circostante.,"Osservala sotto un cielo molto scuro a occhio nudo o con binocolo, confrontando il vuoto apparente con la Via Lattea circostante.",Primavera boreale (autunno australe),Difficile,Media,Difficile,Difficile,Media
